"X.1","X","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
90232,4297,"RT @BigMikeLINY: Donald Trump Live campaign rally in Tampa, FL at the University of South Florida Sun Dome. https://t.co/GT8Nu25KgN 7pm EST",FALSE,0,NA,"2016-02-13 00:21:17",FALSE,NA,698300875685523456,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CEOpx",1,TRUE,FALSE,NA,NA
131092,6243,"RT @David_Leavitt: The complete opposite of Donald Trump #SixWordBernieStory #BernieSanders #FeelTheBern https://t.co/gLnszF3uRi",FALSE,0,NA,"2016-02-06 23:17:47",FALSE,NA,696110571045974016,NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jeddyrocks33",6,TRUE,FALSE,NA,NA
294658,94658,"RT @kumailn: I would pay thousands of dollars to see Donald Trump's head after a shower.",FALSE,0,NA,"2016-01-26 01:02:59",FALSE,NA,691788391432724480,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JimTuna",635,TRUE,FALSE,NA,NA
168400,8020,"RT @CGBPosts: For ONCE the living breathing piece of shit Donald Trump is right and it's disgustingly sad https://t.co/pGsRhTrzFy",FALSE,0,NA,"2016-01-26 18:02:55",FALSE,NA,692045062985875456,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JavierNika",486,TRUE,FALSE,NA,NA
9341,445,"RT @AdorableWords: very sad to hear about donald trump. nothing happened to him i’m just sad to hear about him",FALSE,0,NA,"2016-02-13 01:02:41",FALSE,NA,698311294424735744,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AndreaGandara4",783,TRUE,FALSE,NA,NA
256327,56327,"RT @ClassicPict: Donald Trump v Adolf Hitler https://t.co/TJBmi50MhX",FALSE,0,NA,"2016-01-26 07:51:33",FALSE,NA,691891209409814528,NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CovaBtweeten",59235,TRUE,FALSE,NA,NA
270575,70575,"I wanna talk to TD Jakes like I wanna talk to Donald Trump b",FALSE,1,NA,"2016-01-26 04:31:52",FALSE,NA,691840954928664576,NA,"<a href=""http://tweetlogix.com"" rel=""nofollow"">Tweetlogix</a>","JCTHAGREAT",0,FALSE,FALSE,NA,NA
87422,4163,"Next Donald Trump is going to just tweet a picture of himself punching a Muslim guy.",FALSE,72,NA,"2016-02-16 22:37:25",FALSE,NA,699724291328380928,NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OhNoSheTwitnt",20,FALSE,FALSE,NA,NA
36137,1721,"Donald Trump on giving Cuban immigrants legal status: 'Why would that be a fair thing?' https://t.co/VYAefWUHZs",FALSE,0,NA,"2016-02-14 00:42:59",FALSE,NA,698668727710191616,NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","Orlaf4",0,FALSE,FALSE,NA,NA
106277,5061,"Pass the popcorn. https://t.co/6GdJWZ50b9",FALSE,0,NA,"2016-02-13 00:12:00",FALSE,NA,698298541286912000,NA,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>","LBinFlorida",0,FALSE,FALSE,NA,NA
